Quarters,STATE,RATE,URL
Q4 2021,AL,89.3,/nchs/pressroom/states/alabama/al.htm
Q4 2021,AK,197.9,/nchs/pressroom/states/alaska/ak.htm
Q4 2021,AZ,196.8,/nchs/pressroom/states/arizona/az.htm
Q4 2021,AR,91.9,/nchs/pressroom/states/arkansas/ar.htm
Q4 2021,CA,62.1,/nchs/pressroom/states/california/ca.htm
Q4 2021,CO,172.4,/nchs/pressroom/states/colorado/co.htm
Q4 2021,CT,54.2,/nchs/pressroom/states/connecticut/ct.htm
Q4 2021,DE,98.9,/nchs/pressroom/states/delaware/de.htm
Q4 2021,FL,48.6,/nchs/pressroom/states/florida/fl.htm
Q4 2021,GA,83,/nchs/pressroom/states/georgia/ga.htm
Q4 2021,HI,30.2,/nchs/pressroom/states/hawaii/hi.htm
Q4 2021,ID,190.6,/nchs/pressroom/states/idaho/id.htm
Q4 2021,IL,94.3,/nchs/pressroom/states/illinois/il.htm
Q4 2021,IN,166.9,/nchs/pressroom/states/indiana/in.htm
Q4 2021,IA,135.6,/nchs/pressroom/states/iowa/ia.htm
Q4 2021,KS,138.1,/nchs/pressroom/states/kansas/ks.htm
Q4 2021,KY,165.3,/nchs/pressroom/states/kentucky/ky.htm
Q4 2021,LA,53.3,/nchs/pressroom/states/louisiana/la.htm
Q4 2021,ME,132.7,/nchs/pressroom/states/maine/me.htm
Q4 2021,MD,74.3,/nchs/pressroom/states/maryland/md.htm
Q4 2021,MA,59.7,/nchs/pressroom/states/massachusetts/ma.htm
Q4 2021,MI,205.4,/nchs/pressroom/states/michigan/mi.htm
Q4 2021,MN,135.9,/nchs/pressroom/states/minnesota/mn.htm
Q4 2021,MS,72.7,/nchs/pressroom/states/mississippi/ms.htm
Q4 2021,MO,104.4,/nchs/pressroom/states/missouri/mo.htm
Q4 2021,MT,222.5,/nchs/pressroom/states/montana/mt.htm
Q4 2021,NE,128.7,/nchs/pressroom/states/nebraska/ne.htm
Q4 2021,NV,148.2,/nchs/pressroom/states/nevada/nv.htm
Q4 2021,NH,111.2,/nchs/pressroom/states/newhampshire/nh.htm
Q4 2021,NJ,55.6,/nchs/pressroom/states/newjersey/nj.htm
Q4 2021,NM,258,/nchs/pressroom/states/newmexico/nm.htm
Q4 2021,NY,71.4,/nchs/pressroom/states/newyork/ny.htm
Q4 2021,NC,92,/nchs/pressroom/states/northcarolina/nc.htm
Q4 2021,ND,169.5,/nchs/pressroom/states/northdakota/nd.htm
Q4 2021,OH,221.4,/nchs/pressroom/states/ohio/oh.htm
Q4 2021,OK,138.1,/nchs/pressroom/states/oklahoma/ok.htm
Q4 2021,OR,86.8,/nchs/pressroom/states/oregon/or.htm
Q4 2021,PA,166.8,/nchs/pressroom/states/pennsylvania/pa.htm
Q4 2021,RI,71.9,/nchs/pressroom/states/rhodeisland/ri.htm
Q4 2021,SC,110.8,/nchs/pressroom/states/southcarolina/sc.htm
Q4 2021,SD,126.2,/nchs/pressroom/states/southdakota/sd.htm
Q4 2021,TN,129.6,/nchs/pressroom/states/tennessee/tn.htm
Q4 2021,TX,103.7,/nchs/pressroom/states/texas/tx.htm
Q4 2021,UT,121.1,/nchs/pressroom/states/utah/ut.htm
Q4 2021,VT,56.8,/nchs/pressroom/states/vermont/vt.htm
Q4 2021,VA,93.3,/nchs/pressroom/states/virginia/va.htm
Q4 2021,WA,79.7,/nchs/pressroom/states/washington/wa.htm
Q4 2021,WV,228.2,/nchs/pressroom/states/westvirginia/wv.htm
Q4 2021,WI,130.2,/nchs/pressroom/states/wisconsin/wi.htm
Q4 2021,WY,269.5,/nchs/pressroom/states/wyoming/wy.htm
Q3 2021,AL,254.2,/nchs/pressroom/states/alabama/al.htm
Q3 2021,AK,165.1,/nchs/pressroom/states/alaska/ak.htm
Q3 2021,AZ,98.1,/nchs/pressroom/states/arizona/az.htm
Q3 2021,AR,216.5,/nchs/pressroom/states/arkansas/ar.htm
Q3 2021,CA,72.1,/nchs/pressroom/states/california/ca.htm
Q3 2021,CO,56,/nchs/pressroom/states/colorado/co.htm
Q3 2021,CT,24.3,/nchs/pressroom/states/connecticut/ct.htm
Q3 2021,DE,57.4,/nchs/pressroom/states/delaware/de.htm
Q3 2021,FL,255.3,/nchs/pressroom/states/florida/fl.htm
Q3 2021,GA,214.5,/nchs/pressroom/states/georgia/ga.htm
Q3 2021,HI,89.6,/nchs/pressroom/states/hawaii/hi.htm
Q3 2021,ID,156.1,/nchs/pressroom/states/idaho/id.htm
Q3 2021,IL,55,/nchs/pressroom/states/illinois/il.htm
Q3 2021,IN,94.5,/nchs/pressroom/states/indiana/in.htm
Q3 2021,IA,56.9,/nchs/pressroom/states/iowa/ia.htm
Q3 2021,KS,117.5,/nchs/pressroom/states/kansas/ks.htm
Q3 2021,KY,193.8,/nchs/pressroom/states/kentucky/ky.htm
Q3 2021,LA,232.2,/nchs/pressroom/states/louisiana/la.htm
Q3 2021,ME,34.9,/nchs/pressroom/states/maine/me.htm
Q3 2021,MD,37.9,/nchs/pressroom/states/maryland/md.htm
Q3 2021,MA,22.6,/nchs/pressroom/states/massachusetts/ma.htm
Q3 2021,MI,39.7,/nchs/pressroom/states/michigan/mi.htm
Q3 2021,MN,30.2,/nchs/pressroom/states/minnesota/mn.htm
Q3 2021,MS,266.9,/nchs/pressroom/states/mississippi/ms.htm
Q3 2021,MO,152,/nchs/pressroom/states/missouri/mo.htm
Q3 2021,MT,116.3,/nchs/pressroom/states/montana/mt.htm
Q3 2021,NE,56.1,/nchs/pressroom/states/nebraska/ne.htm
Q3 2021,NV,188.5,/nchs/pressroom/states/nevada/nv.htm
Q3 2021,NH,22.7,/nchs/pressroom/states/newhampshire/nh.htm
Q3 2021,NJ,32.3,/nchs/pressroom/states/newjersey/nj.htm
Q3 2021,NM,95.4,/nchs/pressroom/states/newmexico/nm.htm
Q3 2021,NY,31.6,/nchs/pressroom/states/newyork/ny.htm
Q3 2021,NC,135.8,/nchs/pressroom/states/northcarolina/nc.htm
Q3 2021,ND,44,/nchs/pressroom/states/northdakota/nd.htm
Q3 2021,OH,83.9,/nchs/pressroom/states/ohio/oh.htm
Q3 2021,OK,220.1,/nchs/pressroom/states/oklahoma/ok.htm
Q3 2021,OR,111.3,/nchs/pressroom/states/oregon/or.htm
Q3 2021,PA,44.7,/nchs/pressroom/states/pennsylvania/pa.htm
Q3 2021,RI,24.9,/nchs/pressroom/states/rhodeisland/ri.htm
Q3 2021,SC,198.4,/nchs/pressroom/states/southcarolina/sc.htm
Q3 2021,SD,51.9,/nchs/pressroom/states/southdakota/sd.htm
Q3 2021,TN,216.5,/nchs/pressroom/states/tennessee/tn.htm
Q3 2021,TX,220.7,/nchs/pressroom/states/texas/tx.htm
Q3 2021,UT,83.2,/nchs/pressroom/states/utah/ut.htm
Q3 2021,VT,24,/nchs/pressroom/states/vermont/vt.htm
Q3 2021,VA,71.1,/nchs/pressroom/states/virginia/va.htm
Q3 2021,WA,83.6,/nchs/pressroom/states/washington/wa.htm
Q3 2021,WV,144.8,/nchs/pressroom/states/westvirginia/wv.htm
Q3 2021,WI,41.9,/nchs/pressroom/states/wisconsin/wi.htm
Q3 2021,WY,181.6,/nchs/pressroom/states/wyoming/wy.htm
Q2 2021,AL,32.5,/nchs/pressroom/states/alabama/al.htm
Q2 2021,AK,26.1,/nchs/pressroom/states/alaska/ak.htm
Q2 2021,AZ,24.4,/nchs/pressroom/states/arizona/az.htm
Q2 2021,AR,28.1,/nchs/pressroom/states/arkansas/ar.htm
Q2 2021,CA,14.8,/nchs/pressroom/states/california/ca.htm
Q2 2021,CO,38.1,/nchs/pressroom/states/colorado/co.htm
Q2 2021,CT,24.3,/nchs/pressroom/states/connecticut/ct.htm
Q2 2021,DE,30.9,/nchs/pressroom/states/delaware/de.htm
Q2 2021,FL,39.9,/nchs/pressroom/states/florida/fl.htm
Q2 2021,GA,32.9,/nchs/pressroom/states/georgia/ga.htm
Q2 2021,HI,9.3,/nchs/pressroom/states/hawaii/hi.htm
Q2 2021,ID,30,/nchs/pressroom/states/idaho/id.htm
Q2 2021,IL,45.5,/nchs/pressroom/states/illinois/il.htm
Q2 2021,IN,30.7,/nchs/pressroom/states/indiana/in.htm
Q2 2021,IA,19.6,/nchs/pressroom/states/iowa/ia.htm
Q2 2021,KS,20.9,/nchs/pressroom/states/kansas/ks.htm
Q2 2021,KY,33.9,/nchs/pressroom/states/kentucky/ky.htm
Q2 2021,LA,31.1,/nchs/pressroom/states/louisiana/la.htm
Q2 2021,ME,26.9,/nchs/pressroom/states/maine/me.htm
Q2 2021,MD,43.9,/nchs/pressroom/states/maryland/md.htm
Q2 2021,MA,20.5,/nchs/pressroom/states/massachusetts/ma.htm
Q2 2021,MI,97.3,/nchs/pressroom/states/michigan/mi.htm
Q2 2021,MN,30,/nchs/pressroom/states/minnesota/mn.htm
Q2 2021,MS,38.3,/nchs/pressroom/states/mississippi/ms.htm
Q2 2021,MO,30.8,/nchs/pressroom/states/missouri/mo.htm
Q2 2021,MT,21.8,/nchs/pressroom/states/montana/mt.htm
Q2 2021,NE,16.7,/nchs/pressroom/states/nebraska/ne.htm
Q2 2021,NV,36.5,/nchs/pressroom/states/nevada/nv.htm
Q2 2021,NH,17.5,/nchs/pressroom/states/newhampshire/nh.htm
Q2 2021,NJ,50.2,/nchs/pressroom/states/newjersey/nj.htm
Q2 2021,NM,28.1,/nchs/pressroom/states/newmexico/nm.htm
Q2 2021,NY,45.7,/nchs/pressroom/states/newyork/ny.htm
Q2 2021,NC,32.9,/nchs/pressroom/states/northcarolina/nc.htm
Q2 2021,ND,20.5,/nchs/pressroom/states/northdakota/nd.htm
Q2 2021,OH,33.4,/nchs/pressroom/states/ohio/oh.htm
Q2 2021,OK,27.8,/nchs/pressroom/states/oklahoma/ok.htm
Q2 2021,OR,27.7,/nchs/pressroom/states/oregon/or.htm
Q2 2021,PA,48.4,/nchs/pressroom/states/pennsylvania/pa.htm
Q2 2021,RI,24,/nchs/pressroom/states/rhodeisland/ri.htm
Q2 2021,SC,35.5,/nchs/pressroom/states/southcarolina/sc.htm
Q2 2021,SD,21.3,/nchs/pressroom/states/southdakota/sd.htm
Q2 2021,TN,42.8,/nchs/pressroom/states/tennessee/tn.htm
Q2 2021,TX,38.9,/nchs/pressroom/states/texas/tx.htm
Q2 2021,UT,21.5,/nchs/pressroom/states/utah/ut.htm
Q2 2021,VT,6.2,/nchs/pressroom/states/vermont/vt.htm
Q2 2021,VA,33.2,/nchs/pressroom/states/virginia/va.htm
Q2 2021,WA,26.3,/nchs/pressroom/states/washington/wa.htm
Q2 2021,WV,48.3,/nchs/pressroom/states/westvirginia/wv.htm
Q2 2021,WI,15.2,/nchs/pressroom/states/wisconsin/wi.htm
Q2 2021,WY,29.3,/nchs/pressroom/states/wyoming/wy.htm
Q1 2021,AL,235.2,/nchs/pressroom/states/alabama/al.htm
Q1 2021,AK,39.9,/nchs/pressroom/states/alaska/ak.htm
Q1 2021,AZ,240.8,/nchs/pressroom/states/arizona/az.htm
Q1 2021,AR,173.2,/nchs/pressroom/states/arkansas/ar.htm
Q1 2021,CA,252.6,/nchs/pressroom/states/california/ca.htm
Q1 2021,CO,68.4,/nchs/pressroom/states/colorado/co.htm
Q1 2021,CT,123.8,/nchs/pressroom/states/connecticut/ct.htm
Q1 2021,DE,144.6,/nchs/pressroom/states/delaware/de.htm
Q1 2021,FL,105.8,/nchs/pressroom/states/florida/fl.htm
Q1 2021,GA,213.5,/nchs/pressroom/states/georgia/ga.htm
Q1 2021,HI,15.9,/nchs/pressroom/states/hawaii/hi.htm
Q1 2021,ID,69.6,/nchs/pressroom/states/idaho/id.htm
Q1 2021,IL,98.5,/nchs/pressroom/states/illinois/il.htm
Q1 2021,IN,133.8,/nchs/pressroom/states/indiana/in.htm
Q1 2021,IA,90.9,/nchs/pressroom/states/iowa/ia.htm
Q1 2021,KS,135.4,/nchs/pressroom/states/kansas/ks.htm
Q1 2021,KY,152.3,/nchs/pressroom/states/kentucky/ky.htm
Q1 2021,LA,151.5,/nchs/pressroom/states/louisiana/la.htm
Q1 2021,ME,69.1,/nchs/pressroom/states/maine/me.htm
Q1 2021,MD,128.7,/nchs/pressroom/states/maryland/md.htm
Q1 2021,MA,115.4,/nchs/pressroom/states/massachusetts/ma.htm
Q1 2021,MI,83.7,/nchs/pressroom/states/michigan/mi.htm
Q1 2021,MN,59,/nchs/pressroom/states/minnesota/mn.htm
Q1 2021,MS,207.2,/nchs/pressroom/states/mississippi/ms.htm
Q1 2021,MO,113.2,/nchs/pressroom/states/missouri/mo.htm
Q1 2021,MT,72.2,/nchs/pressroom/states/montana/mt.htm
Q1 2021,NE,73.7,/nchs/pressroom/states/nebraska/ne.htm
Q1 2021,NV,198,/nchs/pressroom/states/nevada/nv.htm
Q1 2021,NH,88.4,/nchs/pressroom/states/newhampshire/nh.htm
Q1 2021,NJ,149.4,/nchs/pressroom/states/newjersey/nj.htm
Q1 2021,NM,159.3,/nchs/pressroom/states/newmexico/nm.htm
Q1 2021,NY,187.6,/nchs/pressroom/states/newyork/ny.htm
Q1 2021,NC,169.1,/nchs/pressroom/states/northcarolina/nc.htm
Q1 2021,ND,48.5,/nchs/pressroom/states/northdakota/nd.htm
Q1 2021,OH,150.9,/nchs/pressroom/states/ohio/oh.htm
Q1 2021,OK,246.7,/nchs/pressroom/states/oklahoma/ok.htm
Q1 2021,OR,49.6,/nchs/pressroom/states/oregon/or.htm
Q1 2021,PA,149,/nchs/pressroom/states/pennsylvania/pa.htm
Q1 2021,RI,144.1,/nchs/pressroom/states/rhodeisland/ri.htm
Q1 2021,SC,213.1,/nchs/pressroom/states/southcarolina/sc.htm
Q1 2021,SD,83.7,/nchs/pressroom/states/southdakota/sd.htm
Q1 2021,TN,180.3,/nchs/pressroom/states/tennessee/tn.htm
Q1 2021,TX,244.5,/nchs/pressroom/states/texas/tx.htm
Q1 2021,UT,86.6,/nchs/pressroom/states/utah/ut.htm
Q1 2021,VT,30.8,/nchs/pressroom/states/vermont/vt.htm
Q1 2021,VA,152.2,/nchs/pressroom/states/virginia/va.htm
Q1 2021,WA,55.7,/nchs/pressroom/states/washington/wa.htm
Q1 2021,WV,160.3,/nchs/pressroom/states/westvirginia/wv.htm
