YEAR,STATE,RATE,DEATHS,URL
2020,AL,54.5,3391,/nchs/pressroom/states/alabama/al.htm
2020,AK,34.2,212,/nchs/pressroom/states/alaska/ak.htm
2020,AZ,32.7,3227,/nchs/pressroom/states/arizona/az.htm
2020,AR,43.5,1684,/nchs/pressroom/states/arkansas/ar.htm
2020,CA,39.1,17916,/nchs/pressroom/states/california/ca.htm
2020,CO,35.9,2191,/nchs/pressroom/states/colorado/co.htm
2020,CT,28.4,1467,/nchs/pressroom/states/connecticut/ct.htm
2020,DE,52.5,716,/nchs/pressroom/states/delaware/de.htm
2020,FL,43.5,15358,/nchs/pressroom/states/florida/fl.htm
2020,GA,43,4821,/nchs/pressroom/states/georgia/ga.htm
2020,HI,38.4,835,/nchs/pressroom/states/hawaii/hi.htm
2020,ID,37.4,772,/nchs/pressroom/states/idaho/id.htm
2020,IL,42.3,6762,/nchs/pressroom/states/illinois/il.htm
2020,IN,40.3,3317,/nchs/pressroom/states/indiana/in.htm
2020,IA,31.9,1408,/nchs/pressroom/states/iowa/ia.htm
2020,KS,36.7,1383,/nchs/pressroom/states/kansas/ks.htm
2020,KY,42.4,2328,/nchs/pressroom/states/kentucky/ky.htm
2020,LA,46.6,2566,/nchs/pressroom/states/louisiana/la.htm
2020,ME,33,694,/nchs/pressroom/states/maine/me.htm
2020,MD,42.5,3167,/nchs/pressroom/states/maryland/md.htm
2020,MA,24.4,2267,/nchs/pressroom/states/massachusetts/ma.htm
2020,MI,44.5,5874,/nchs/pressroom/states/michigan/mi.htm
2020,MN,32.1,2315,/nchs/pressroom/states/minnesota/mn.htm
2020,MS,54.5,1948,/nchs/pressroom/states/mississippi/ms.htm
2020,MO,40.3,3275,/nchs/pressroom/states/missouri/mo.htm
2020,MT,31,453,/nchs/pressroom/states/montana/mt.htm
2020,NE,36.1,879,/nchs/pressroom/states/nebraska/ne.htm
2020,NV,40.3,1444,/nchs/pressroom/states/nevada/nv.htm
2020,NH,29.8,558,/nchs/pressroom/states/newhampshire/nh.htm
2020,NJ,31.8,3725,/nchs/pressroom/states/newjersey/nj.htm
2020,NM,34.6,934,/nchs/pressroom/states/newmexico/nm.htm
2020,NY,24.8,6486,/nchs/pressroom/states/newyork/ny.htm
2020,NC,44.4,5720,/nchs/pressroom/states/northcarolina/nc.htm
2020,ND,32.1,310,/nchs/pressroom/states/northdakota/nd.htm
2020,OH,45.3,7053,/nchs/pressroom/states/ohio/oh.htm
2020,OK,41,1955,/nchs/pressroom/states/oklahoma/ok.htm
2020,OR,40.5,2236,/nchs/pressroom/states/oregon/or.htm
2020,PA,36.7,6940,/nchs/pressroom/states/pennsylvania/pa.htm
2020,RI,26.7,406,/nchs/pressroom/states/rhodeisland/ri.htm
2020,SC,43.5,2876,/nchs/pressroom/states/southcarolina/sc.htm
2020,SD,35.5,427,/nchs/pressroom/states/southdakota/sd.htm
2020,TN,43.6,3672,/nchs/pressroom/states/tennessee/tn.htm
2020,TX,41.1,11667,/nchs/pressroom/states/texas/tx.htm
2020,UT,34.1,917,/nchs/pressroom/states/utah/ut.htm
2020,VT,28.3,263,/nchs/pressroom/states/vermont/vt.htm
2020,VA,39.9,4091,/nchs/pressroom/states/virginia/va.htm
2020,WA,34.7,3087,/nchs/pressroom/states/washington/wa.htm
2020,WV,36.7,952,/nchs/pressroom/states/westvirginia/wv.htm
2020,WI,36.4,2827,/nchs/pressroom/states/wisconsin/wi.htm
2020,WY,30.6,221,/nchs/pressroom/states/wyoming/wy.htm
2019,AL,51.5,3141,/nchs/pressroom/states/alabama/al.htm
2019,AK,34.9,210,/nchs/pressroom/states/alaska/ak.htm
2019,AZ,30.2,2851,/nchs/pressroom/states/arizona/az.htm
2019,AR,40.7,1561,/nchs/pressroom/states/arkansas/ar.htm
2019,CA,37.3,16851,/nchs/pressroom/states/california/ca.htm
2019,CO,33.7,1990,/nchs/pressroom/states/colorado/co.htm
2019,CT,26.7,1375,/nchs/pressroom/states/connecticut/ct.htm
2019,DE,45.1,594,/nchs/pressroom/states/delaware/de.htm
2019,FL,40.4,13902,/nchs/pressroom/states/florida/fl.htm
2019,GA,41.9,4539,/nchs/pressroom/states/georgia/ga.htm
2019,HI,37.1,807,/nchs/pressroom/states/hawaii/hi.htm
2019,ID,34,683,/nchs/pressroom/states/idaho/id.htm
2019,IL,38.8,6153,/nchs/pressroom/states/illinois/il.htm
2019,IN,41.4,3361,/nchs/pressroom/states/indiana/in.htm
2019,IA,32.1,1412,/nchs/pressroom/states/iowa/ia.htm
2019,KS,34.8,1303,/nchs/pressroom/states/kansas/ks.htm
2019,KY,42.5,2296,/nchs/pressroom/states/kentucky/ky.htm
2019,LA,44.1,2386,/nchs/pressroom/states/louisiana/la.htm
2019,ME,31.4,643,/nchs/pressroom/states/maine/me.htm
2019,MD,41.8,3049,/nchs/pressroom/states/maryland/md.htm
2019,MA,26.7,2464,/nchs/pressroom/states/massachusetts/ma.htm
2019,MI,39.3,5178,/nchs/pressroom/states/michigan/mi.htm
2019,MN,33,2365,/nchs/pressroom/states/minnesota/mn.htm
2019,MS,52.1,1851,/nchs/pressroom/states/mississippi/ms.htm
2019,MO,37.7,3031,/nchs/pressroom/states/missouri/mo.htm
2019,MT,28.8,413,/nchs/pressroom/states/montana/mt.htm
2019,NE,31.5,769,/nchs/pressroom/states/nebraska/ne.htm
2019,NV,37.9,1284,/nchs/pressroom/states/nevada/nv.htm
2019,NH,28.5,526,/nchs/pressroom/states/newhampshire/nh.htm
2019,NJ,30.3,3550,/nchs/pressroom/states/newjersey/nj.htm
2019,NM,33.3,886,/nchs/pressroom/states/newmexico/nm.htm
2019,NY,23.8,6192,/nchs/pressroom/states/newyork/ny.htm
2019,NC,41.5,5202,/nchs/pressroom/states/northcarolina/nc.htm
2019,ND,31.7,308,/nchs/pressroom/states/northdakota/nd.htm
2019,OH,42.2,6504,/nchs/pressroom/states/ohio/oh.htm
2019,OK,38.4,1803,/nchs/pressroom/states/oklahoma/ok.htm
2019,OR,39.5,2134,/nchs/pressroom/states/oregon/or.htm
2019,PA,35.3,6658,/nchs/pressroom/states/pennsylvania/pa.htm
2019,RI,26.9,407,/nchs/pressroom/states/rhodeisland/ri.htm
2019,SC,42.2,2703,/nchs/pressroom/states/southcarolina/sc.htm
2019,SD,32.2,372,/nchs/pressroom/states/southdakota/sd.htm
2019,TN,41.8,3435,/nchs/pressroom/states/tennessee/tn.htm
2019,TX,39,10807,/nchs/pressroom/states/texas/tx.htm
2019,UT,34.7,912,/nchs/pressroom/states/utah/ut.htm
2019,VT,29.7,269,/nchs/pressroom/states/vermont/vt.htm
2019,VA,38.3,3828,/nchs/pressroom/states/virginia/va.htm
2019,WA,35,3032,/nchs/pressroom/states/washington/wa.htm
2019,WV,40.2,1035,/nchs/pressroom/states/westvirginia/wv.htm
2019,WI,32.3,2488,/nchs/pressroom/states/wisconsin/wi.htm
2019,WY,31.7,221,/nchs/pressroom/states/wyoming/wy.htm
2018,AL,51.5,3088,/nchs/pressroom/states/alabama/al.htm
2018,AK,40,216,/nchs/pressroom/states/alaska/ak.htm
2018,AZ,31,2836,/nchs/pressroom/states/arizona/az.htm
2018,AR,41.5,1551,/nchs/pressroom/states/arkansas/ar.htm
2018,CA,37,16457,/nchs/pressroom/states/california/ca.htm
2018,CO,34.7,1996,/nchs/pressroom/states/colorado/co.htm
2018,CT,27.2,1388,/nchs/pressroom/states/connecticut/ct.htm
2018,DE,46.4,605,/nchs/pressroom/states/delaware/de.htm
2018,FL,39.6,13255,/nchs/pressroom/states/florida/fl.htm
2018,GA,43.4,4553,/nchs/pressroom/states/georgia/ga.htm
2018,HI,37.4,786,/nchs/pressroom/states/hawaii/hi.htm
2018,ID,36.4,718,/nchs/pressroom/states/idaho/id.htm
2018,IL,37.3,5855,/nchs/pressroom/states/illinois/il.htm
2018,IN,39.3,3151,/nchs/pressroom/states/indiana/in.htm
2018,IA,33,1440,/nchs/pressroom/states/iowa/ia.htm
2018,KS,35.9,1296,/nchs/pressroom/states/kansas/ks.htm
2018,KY,41.5,2204,/nchs/pressroom/states/kentucky/ky.htm
2018,LA,46.7,2485,/nchs/pressroom/states/louisiana/la.htm
2018,ME,33.7,690,/nchs/pressroom/states/maine/me.htm
2018,MD,40.3,2883,/nchs/pressroom/states/maryland/md.htm
2018,MA,27.1,2466,/nchs/pressroom/states/massachusetts/ma.htm
2018,MI,40,5183,/nchs/pressroom/states/michigan/mi.htm
2018,MN,32.2,2270,/nchs/pressroom/states/minnesota/mn.htm
2018,MS,51.8,1805,/nchs/pressroom/states/mississippi/ms.htm
2018,MO,38.5,3039,/nchs/pressroom/states/missouri/mo.htm
2018,MT,30.1,418,/nchs/pressroom/states/montana/mt.htm
2018,NE,31.5,758,/nchs/pressroom/states/nebraska/ne.htm
2018,NV,36.6,1190,/nchs/pressroom/states/nevada/nv.htm
2018,NH,27.2,499,/nchs/pressroom/states/newhampshire/nh.htm
2018,NJ,29.8,3444,/nchs/pressroom/states/newjersey/nj.htm
2018,NM,31.8,838,/nchs/pressroom/states/newmexico/nm.htm
2018,NY,24.4,6244,/nchs/pressroom/states/newyork/ny.htm
2018,NC,41.3,5062,/nchs/pressroom/states/northcarolina/nc.htm
2018,ND,34.1,329,/nchs/pressroom/states/northdakota/nd.htm
2018,OH,42.6,6525,/nchs/pressroom/states/ohio/oh.htm
2018,OK,40.1,1861,/nchs/pressroom/states/oklahoma/ok.htm
2018,OR,38,2024,/nchs/pressroom/states/oregon/or.htm
2018,PA,35.3,6599,/nchs/pressroom/states/pennsylvania/pa.htm
2018,RI,28.2,424,/nchs/pressroom/states/rhodeisland/ri.htm
2018,SC,45.5,2819,/nchs/pressroom/states/southcarolina/sc.htm
2018,SD,33.6,389,/nchs/pressroom/states/southdakota/sd.htm
2018,TN,43.6,3499,/nchs/pressroom/states/tennessee/tn.htm
2018,TX,40.3,10810,/nchs/pressroom/states/texas/tx.htm
2018,UT,36.3,919,/nchs/pressroom/states/utah/ut.htm
2018,VT,29.5,263,/nchs/pressroom/states/vermont/vt.htm
2018,VA,38.9,3778,/nchs/pressroom/states/virginia/va.htm
2018,WA,34.1,2891,/nchs/pressroom/states/washington/wa.htm
2018,WV,38.6,990,/nchs/pressroom/states/westvirginia/wv.htm
2018,WI,33.4,2549,/nchs/pressroom/states/wisconsin/wi.htm
2018,WY,32.2,220,/nchs/pressroom/states/wyoming/wy.htm
2017,AL,50,"2,931",/nchs/pressroom/states/alabama/alabama.htm
2017,AK,35.1,190,/nchs/pressroom/states/alaska/alaska.htm
2017,AZ,30.8,"2,681",/nchs/pressroom/states/arizona/arizona.htm
2017,AR,43.8,"1,612",/nchs/pressroom/states/arkansas/arkansas.htm
2017,CA,37.6,"16,355",/nchs/pressroom/states/california/california.htm
2017,CO,35.8,"1,988",/nchs/pressroom/states/colorado/colorado.htm
2017,CT,27.8,"1,403",/nchs/pressroom/states/connecticut/connecticut.htm
2017,DE,46.2,571,/nchs/pressroom/states/delaware/delaware.htm
2017,FL,38.9,"12,602",/nchs/pressroom/states/florida/florida.htm
2017,GA,43.5,"4,399",/nchs/pressroom/states/georgia/georgia.htm
2017,HI,37.5,764,/nchs/pressroom/states/hawaii/hawaii.htm
2017,ID,38.5,726,/nchs/pressroom/states/idaho/idaho.htm
2017,IL,38.9,"6,020",/nchs/pressroom/states/illinois/illinois.htm
2017,IN,40.2,"3,150",/nchs/pressroom/states/indiana/indiana.htm
2017,IA,32.8,"1,416",/nchs/pressroom/states/iowa/iowa.htm
2017,KS,37.7,"1,355",/nchs/pressroom/states/kansas/kansas.htm
2017,KY,39.4,"2,050",/nchs/pressroom/states/kentucky/kentucky.htm
2017,LA,47.4,"2,460",/nchs/pressroom/states/louisiana/louisiana.htm
2017,ME,37.5,736,/nchs/pressroom/states/maine/maine.htm
2017,MD,40.2,"2,820",/nchs/pressroom/states/maryland/maryland.htm
2017,MA,26.5,"2,367",/nchs/pressroom/states/massachusetts/massachusetts.htm
2017,MI,39.3,"5,002",/nchs/pressroom/states/michigan/michigan.htm
2017,MN,32.6,"2,250",/nchs/pressroom/states/minnesota/minnesota.htm
2017,MS,51.1,"1,723",/nchs/pressroom/states/mississippi/mississippi.htm
2017,MO,41,"3,159",/nchs/pressroom/states/missouri/missouri.htm
2017,MT,35.6,487,/nchs/pressroom/states/montana/montana.htm
2017,NE,31.5,760,/nchs/pressroom/states/nebraska/nebraska.htm
2017,NV,35.9,"1,137",/nchs/pressroom/states/nevada/nevada.htm
2017,NH,28.9,514,/nchs/pressroom/states/newhampshire/newhampshire.htm
2017,NJ,30.2,"3,474",/nchs/pressroom/states/newjersey/newjersey.htm
2017,NM,34.7,878,/nchs/pressroom/states/newmexico/newmexico.htm
2017,NY,24.6,"6,264",/nchs/pressroom/states/newyork/newyork.htm
2017,NC,43,"5,098",/nchs/pressroom/states/northcarolina/northcarolina.htm
2017,ND,35.4,337,/nchs/pressroom/states/northdakota/northdakota.htm
2017,OH,42.8,"6,425",/nchs/pressroom/states/ohio/ohio.htm
2017,OK,43.3,"1,947",/nchs/pressroom/states/oklahoma/oklahoma.htm
2017,OR,39.9,"2,066",/nchs/pressroom/states/oregon/oregon.htm
2017,PA,36.5,"6,700",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
2017,RI,29.4,425,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
2017,SC,44.9,"2,691",/nchs/pressroom/states/southcarolina/southcarolina.htm
2017,SD,36.7,414,/nchs/pressroom/states/southdakota/southdakota.htm
2017,TN,45,"3,519",/nchs/pressroom/states/tenessee/tennessee.htm
2017,TX,41.3,"10,790",/nchs/pressroom/states/texas/texas.htm
2017,UT,36.2,888,/nchs/pressroom/states/utah/utah.htm
2017,VT,28.8,249,/nchs/pressroom/states/vermont/vermont.htm
2017,VA,37.5,"3,555",/nchs/pressroom/states/virginia/virginia.htm
2017,WA,36.9,"3,028",/nchs/pressroom/states/washington/washington.htm
2017,WV,41.8,"1,058",/nchs/pressroom/states/westvirginia/westvirginia.htm
2017,WI,33.5,"2,513",/nchs/pressroom/states/wisconsin/wisconsin.htm
2017,WY,28.4,190,/nchs/pressroom/states/wyoming/wyoming.htm
2016,AL,51.6,"2,967",/nchs/pressroom/states/alabama/alabama.htm
2016,AK,39,196,/nchs/pressroom/states/alaska/alaska.htm
2016,AZ,29.8,"2,556",/nchs/pressroom/states/arizona/arizona.htm
2016,AR,45.6,"1,643",/nchs/pressroom/states/arkansas/arkansas.htm
2016,CA,36.9,"15,680",/nchs/pressroom/states/california/california.htm
2016,CO,35.2,"1,927",/nchs/pressroom/states/colorado/colorado.htm
2016,CT,26.3,"1,269",/nchs/pressroom/states/connecticut/connecticut.htm
2016,DE,41.6,506,/nchs/pressroom/states/delaware/delaware.htm
